model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.7917998262494802,0.0,0.7106523268418696,0.0,0.12705267893054586,0.0,0.8729473210694542,0.0,0.28934767315813054,0.0,0.8194213491200466,5.551115123125783e-17,0.7106523268418696,0.0,0.7404514235017285,0.0
LCM_9.4M,0.7890611245930195,0.0,0.6835530892050461,0.0,0.10543084694152202,0.0,0.894569153058478,0.0,0.31644691079495385,0.0,0.8228244091941888,0.0,0.6835530892050461,0.0,0.7284694709980277,0.0
LCM_12.2M,0.7934153057485819,0.0,0.6932917141735577,0.0,0.10646110742285872,0.0,0.8935388925771413,0.0,0.30670828582644244,0.0,0.8297373583680269,0.0,0.6932917141735577,0.0,0.7362270308650022,0.0
LCM_24M,0.7717907229711438,0.0,0.6934314840724055,0.0,0.14985004262751878,0.0,0.8501499573724814,5.551115123125783e-17,0.3065685159275945,0.0,0.7876931167828642,0.0,0.6934314840724055,0.0,0.7174578950137926,0.0
PCMCI,0.8012492528930306,,0.7607082599870971,,0.40277147888181086,,0.5972285211181891,,0.23929174001290293,,0.6481698252032766,,0.7607082599870971,,0.6777669808978061,
DYNOTEARS,0.5685578834563494,,0.18980044565610985,,0.05268468772827101,,0.947315312271729,,0.8101995543438902,,0.5045126037650223,,0.18980044565610985,,0.25463733857978044,
VARLINGAM,0.7894876925647258,,0.6940998244554667,,0.11512444405593489,,0.8848755559440651,,0.30590017554453336,,0.8153963250000636,,0.6940998244554667,,0.7336571134340686,
