model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
CP_trf, 0.9150227301137548,0.0,0.8949765258215964,0.0,0.06493106765468604,0.0,0.9350689323453141,0.0,0.10502347417840377,6.938893903907228e-18,0.8785472312966895,0.0,0.8949765258215964,0.0,0.8821107801589392,0.0
LCM_2.5M,0.9573658024047994,0.00035758728822396626,0.9366815369548747,0.0007097104365641674,0.02194993426090445,8.575698354956061e-05,0.9780500657390956,8.575698354958167e-05,0.06331846304512534,0.0007097104365641837,0.9447774606926241,0.0008239057212411165,0.9366815369548747,0.0007097104365641674,0.9366600879555147,0.0006908447340453127
LCM_9.4M,0.9624908026381277,0.0003469031532103022,0.9459718309859155,0.0007003945100784718,0.020990230398869894,2.4883445523133148e-05,0.9790097696011302,2.4883445523171312e-05,0.05402816901408451,0.000700394510078474,0.9532511467166607,0.0006602540825534766,0.9459718309859155,0.0007003945100784718,0.9458458966882419,0.0006613355266590114
LCM_12.2M,0.9640765612184161,0.0006796436196916503,0.9515516431924883,0.0013614537792859206,0.023398523054009367,3.23004431859368e-05,0.9766014769459905,3.230044318594268e-05,0.04844835680751173,0.001361453779285906,0.9514908259407028,0.0010069426080429092,0.9515516431924883,0.0013614537792859206,0.9485002678275128,0.0011858066458731529
LCM_24M,0.9359791596325648,0.000363053310262587,0.8883183935655277,0.0006838357086048641,0.016360076784625206,6.698038840150132e-05,0.9836399232153749,6.69803884015084e-05,0.11168160643447247,0.0006838357086048971,0.9225493975458127,0.0005087998674086833,0.8883183935655277,0.0006838357086048641,0.8980444682267356,0.0005210472805017267
PCMCI,0.6720860168933869,,0.6855,,0.6556538599806354,,0.34434614001936453,,0.0245,,0.42727246662216406,,0.6855,,0.5206273818087768,
DYNOTEARS,0.5407811768639547,,0.2731570512820513,,0.1915947081823164,,0.8084052918176835,,0.7268429487179485,,0.33047803663090203,,0.2731570512820513,,0.2905423336800395,
VARLINGAM,0.8019831735640764,,0.9404166666666667,,0.33645032505024197,,0.6635496749497579,,0.05958333333333333,,0.725022494614299,,0.9404166666666667,,0.8166772783975139,
