model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
CP_trf,0.5182591747045517,0.0,0.235319462318727,0.0,0.19880112442742348,0.0,0.8011988755725765,0.0,0.764680537681273,0.0,0.48760536803350674,2.7755575615628914e-17,0.235319462318727,0.0,0.31193772179873736,0.0
LCM_2.5M,0.9132647033810615,6.997328844948283e-05,0.9972213245088245,7.76588727291155e-05,0.17069191636005177,0.00012332376591828287,0.8293080836399482,0.00012332376591830046,0.0027786754911754913,7.76588727291253e-05,0.8553990006717843,8.744892857481481e-05,0.9972213245088245,7.76588727291155e-05,0.920370838472252,6.177610827283234e-05
LCM_9.4M,0.9187460759162903,0.00016286113751012504,0.9985135339660338,8.722822126298077e-05,0.16102138092215693,0.00026379862121504163,0.838978619077843,0.00026379862121502656,0.001486466033966034,8.72282212629736e-05,0.8633413499313525,0.00020220448647417845,0.9985135339660338,8.722822126298077e-05,0.9253803279944505,0.00014599159030658098
LCM_12.2M,0.9224354825019837,4.474367043623082e-05,0.9974138114663115,6.74278278144852e-05,0.15254284527163658,0.00011002777510088926,0.8474571547283635,0.0001100277751008867,0.0025861885336885336,6.74278278144948e-05,0.8681164475642331,7.463637465856702e-05,0.9974138114663115,6.74278278144852e-05,0.9279952687074042,3.828743112060224e-05
LCM_24M,0.9317551469802856,0.00019673004867305785,0.9235983904004492,0.00036682675767334214,0.06008809687668863,5.847896437952371e-05,0.9399119031233113,5.847896437950469e-05,0.07640160959955078,0.00036682675767333136,0.9393566976203539,6.527357032634351e-05,0.9235983904004492,0.00036682675767334214,0.9283159262214378,0.00023117262735604808
PCMCI,0.46561887718737127,,0.9811468697968698,,0.9660504113662396,,0.033949588633760464,,0.018853130203130203,,0.5044333303870606,,0.9811468697968698,,0.665594260589658,
DYNOTEARS,0.49966030490398405,,0.007438003663003663,,0.008117395508688077,,0.9918826044913119,,0.9925619963369964,,0.067,,0.007438003663003663,,0.013266465042892712,
VARLINGAM,0.5038902972489595,,0.6527977242528714,,0.6450171321841213,,0.3549828678158786,,0.34720227574712875,,0.4993489310955188,,0.6527977242528714,,0.5607834163045725,
