mean,median,std,min,max
0.0031368,0.003,0.0003991461180128128,0.003,0.011
0.004989199999999999,0.005,0.0005939308973122476,0.004,0.019
0.010127999999999998,0.01,0.0008925106806436694,0.009,0.033
0.011786199999999998,0.012,0.000959100377805649,0.01,0.027
0.0203204,0.02,0.001499531112952203,0.018,0.044
0.058361,0.056,0.011627290005537532,0.041,0.229
0.13391499999999998,0.126,0.05471599048372072,0.006,0.535
0.08353299999999998,0.083,0.0024926139139714552,0.079,0.108
