model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.9369903086838898,0.0008150435485548415,1.0,0.0,0.12601937038534175,0.0016300876425880877,0.8739806296146583,0.0016300876425880894,0.0,0.0,0.8908291002219149,0.0013330719481133232,1.0,0.0,0.9415310578522266,0.0007345861012598906
LCM_9.4M,0.9343928802904036,0.0008859218997972302,1.0,0.0,0.13121422163043034,0.0017718440838974127,0.8687857783695698,0.0017718440838974136,0.0,0.0,0.8864979327730215,0.001408709899191789,1.0,0.0,0.9391648901148653,0.0007864914612077237
LCM_12.2M,0.936626497093802,0.0006239699795750378,0.997426703681778,0.00029164042428221615,0.12417369433892708,0.0013295920218983858,0.875826305661073,0.001329592021898385,0.002573296318222109,0.00029164042428221664,0.8913666832282477,0.0010660732694927372,0.997426703681778,0.00029164042428221615,0.9407979673970738,0.000555759383569869
LCM_24M,0.9396232658417963,0.0008340083604077763,0.9940528353147875,0.000514795014075954,0.11480630411847638,0.0018344442278339626,0.8851936958815235,0.0018344442278339624,0.005947164685212425,0.0005147950140759559,0.9012713606140199,0.0014230862772358311,0.9940528353147875,0.000514795014075954,0.9438014077311001,0.000723454513893642
PCMCI,0.7659803914196179,0.005131302196632785,0.9918231724432149,0.0008381375841903986,0.935032102251196,0.004793642492962368,0.06496789774880385,0.004793642492962364,0.008176827556785112,0.0008381375841904028,0.5163444012507818,0.0014517317824831724,0.9918231724432149,0.0008381375841903986,0.6785304851305829,0.001282681168500074
DYNOTEARS,0.5441248082945263,0.005980619736669809,0.34511537151492144,0.022032894021046336,0.2568657436622766,0.011719217867746268,0.7431342563377233,0.011719217867746268,0.6548846284850787,0.022032894021046332,0.46731857413715444,0.011847477131368475,0.34511537151492144,0.022032894021046336,0.37827571770934854,0.016916643590818566
VARLINGAM,0.6979363726520624,0.00406357385566618,0.6036318029606635,0.004938252456450305,0.20775905417257348,0.004853656287084866,0.7922409458274264,0.004853656287084866,0.3963681970393364,0.004938252456450305,0.7524908732320434,0.004883098562928205,0.6036318029606635,0.004938252456450305,0.6622163602893861,0.0045253462465580175
