model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.8960076238512993,0.0,0.9498162429873606,5.551115123125783e-17,0.15780100057299049,0.0,0.8421989994270096,5.551115123125783e-17,0.050183757012639385,0.0,0.858455326539756,0.0,0.9498162429873606,5.551115123125783e-17,0.9007005886375191,0.0
LCM_9.4M,0.9257107529044152,0.0,0.9985057176704334,5.551115123125783e-17,0.14708420384626414,0.0,0.8529157961537359,5.551115123125783e-17,0.0014942823295665808,0.0,0.8720798367246104,0.0,0.9985057176704334,5.551115123125783e-17,0.9308826912589263,0.0
LCM_12.2M,0.902343135356903,0.0,0.9922849373631992,0.0,0.18759866372762105,0.0,0.812401336272379,0.0,0.007715062636800839,0.0,0.8439257073816808,0.0,0.9922849373631992,0.0,0.910900006759894,0.0
LCM_24M,0.9127530925273895,5.551115123125783e-17,0.9783720170793355,0.0,0.15286583122667086,0.0,0.8471341687733291,0.0,0.02162798292066448,0.0,0.865391876158354,5.551115123125783e-17,0.9783720170793355,0.0,0.9173330231088613,5.551115123125783e-17
PCMCI,0.6404093693494797,,0.9767010422649801,,0.9499595007090299,,0.0500404992909701,,0.023298957735019995,,0.506945865879856,,0.9767010422649801,,0.6673581394811824,
DYNOTEARS,0.5025076010525227,,0.01938668917027001,,0.01437149052268742,,0.9856285094773126,,0.9806133108297299,,0.37009742863092754,,0.01938668917027001,,0.036437462385852194,
VARLINGAM,0.5843917422294617,,0.6179960146810021,,0.4492125318759248,,0.5507874681240751,,0.38200398531899793,,0.5776489896057463,,0.6179960146810021,,0.5913139967338218,
