model_a,model_b,n_shared_samples,mean_a ± std,mean_b ± std,raw_p_value,adjusted_alpha,significant_after_correction
LCM_2.5M,LCM_9.4M,1000,0.8960 ± 0.0383,0.9257 ± 0.0143,1.17294520607762e-129,0.002380952380952381,Yes
LCM_2.5M,LCM_12.2M,1000,0.8960 ± 0.0383,0.9023 ± 0.0396,5.822093903433674e-10,0.002380952380952381,Yes
LCM_2.5M,LCM_24M,1000,0.8960 ± 0.0383,0.9128 ± 0.0237,1.5773005623777176e-29,0.002380952380952381,Yes
LCM_2.5M,PCMCI,1000,0.8960 ± 0.0383,0.6404 ± 0.0456,3.3358580741694893e-165,0.002380952380952381,Yes
LCM_2.5M,DYNOTEARS,1000,0.8960 ± 0.0383,0.5025 ± 0.0104,3.3256139731557155e-165,0.002380952380952381,Yes
LCM_2.5M,VARLINGAM,1000,0.8960 ± 0.0383,0.5844 ± 0.0452,3.325827305108314e-165,0.002380952380952381,Yes
LCM_9.4M,LCM_12.2M,1000,0.9257 ± 0.0143,0.9023 ± 0.0396,9.653872100626866e-115,0.002380952380952381,Yes
LCM_9.4M,LCM_24M,1000,0.9257 ± 0.0143,0.9128 ± 0.0237,7.369939587931038e-95,0.002380952380952381,Yes
LCM_9.4M,PCMCI,1000,0.9257 ± 0.0143,0.6404 ± 0.0456,3.3258572475243253e-165,0.002380952380952381,Yes
LCM_9.4M,DYNOTEARS,1000,0.9257 ± 0.0143,0.5025 ± 0.0104,3.323015784719838e-165,0.002380952380952381,Yes
LCM_9.4M,VARLINGAM,1000,0.9257 ± 0.0143,0.5844 ± 0.0452,3.325802977092616e-165,0.002380952380952381,Yes
LCM_12.2M,LCM_24M,1000,0.9023 ± 0.0396,0.9128 ± 0.0237,1.0496925111663491e-06,0.002380952380952381,Yes
LCM_12.2M,PCMCI,1000,0.9023 ± 0.0396,0.6404 ± 0.0456,3.325855376115758e-165,0.002380952380952381,Yes
LCM_12.2M,DYNOTEARS,1000,0.9023 ± 0.0396,0.5025 ± 0.0104,3.3251742528683066e-165,0.002380952380952381,Yes
LCM_12.2M,VARLINGAM,1000,0.9023 ± 0.0396,0.5844 ± 0.0452,3.325821690935182e-165,0.002380952380952381,Yes
LCM_24M,PCMCI,1000,0.9128 ± 0.0237,0.6404 ± 0.0456,3.3258516333008374e-165,0.002380952380952381,Yes
LCM_24M,DYNOTEARS,1000,0.9128 ± 0.0237,0.5025 ± 0.0104,3.3255428655293167e-165,0.002380952380952381,Yes
LCM_24M,VARLINGAM,1000,0.9128 ± 0.0237,0.5844 ± 0.0452,3.325819819546054e-165,0.002380952380952381,Yes
PCMCI,DYNOTEARS,1000,0.6404 ± 0.0456,0.5025 ± 0.0104,3.5850982326508123e-165,0.002380952380952381,Yes
PCMCI,VARLINGAM,1000,0.6404 ± 0.0456,0.5844 ± 0.0452,7.261185669191085e-110,0.002380952380952381,Yes
DYNOTEARS,VARLINGAM,1000,0.5025 ± 0.0104,0.5844 ± 0.0452,1.2798812894346932e-159,0.002380952380952381,Yes
