model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.7985972843860466,0.00011468498416423602,0.7517998232762991,0.00035548108326592627,0.15460525863573363,0.0001839825786438365,0.8453947413642663,0.0001839825786438367,0.24820017672370098,0.00035548108326592545,0.8185868662124537,0.00014895356927974323,0.7517998232762991,0.00035548108326592627,0.7610926076370245,0.00024976335521447357
LCM_9.4M,0.7971032194101585,0.00012948970630015917,0.7278165827447268,0.00034838493693487775,0.13361014984810254,0.00014305152720172056,0.8663898501518975,0.00014305152720172138,0.27218341725527323,0.0003483849369348772,0.8230054430659942,0.00018290333773274603,0.7278165827447268,0.00034838493693487775,0.7519652767622339,0.0003023306011494979
LCM_12.2M,0.7961697257577869,7.384108665717512e-05,0.7290519037603556,0.0001546735062609685,0.1367124571555028,0.00012242739840826725,0.8632875428444972,0.00012242739840826678,0.2709480962396444,0.0001546735062609685,0.8224775210265212,9.899559120306949e-05,0.7290519037603556,0.0001546735062609685,0.7509836701970475,0.00011350234177701233
LCM_24M,0.7709588184340705,0.0001352893676034484,0.7326057732142989,0.0002466835413157273,0.19068813853590594,0.00019589882364558247,0.8093118614640941,0.00019589882364558147,0.26739422678570124,0.00024668354131572644,0.7766879611955263,0.00017424896664443103,0.7326057732142989,0.0002466835413157273,0.7324859697766042,0.0001820188602299596
PCMCI,0.782623953200378,0.0003709220323456133,0.7688735685403001,0.0006700781658458887,0.43950771075826733,0.0007264121942204709,0.5604922892417326,0.0007264121942204717,0.22450153467340858,0.0007431156959142539,0.6363565688894866,0.0006482831164118342,0.7688735685403001,0.0006700781658458887,0.675124934710523,0.00039259161147737245
DYNOTEARS,0.5629022660927939,0.0004446736435231863,0.17902281899553119,0.0009122470364348561,0.05280285607069661,6.172009940801613e-05,0.9471971439293033,6.172009940801661e-05,0.8205331115305107,0.0009344939971425025,0.5101951213014342,0.001139144386795799,0.17902281899553119,0.0009122470364348561,0.24523122813340895,0.0009227688895910609
VARLINGAM,0.7733157895549014,0.00021573817284938995,0.663466731457467,0.0005160621490622622,0.11645429635906779,0.00018889041208126954,0.8835457036409321,0.00018889041208126878,0.3360891990685748,0.0005503879619575545,0.8048425225678885,0.00023852985455685756,0.663466731457467,0.0005160621490622622,0.7100792684965658,0.00039576244471962584
