model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.7725344796835537,0.00020716669635986585,0.7996584383140583,0.0029601479544952938,0.3693493658305509,0.00021082826106210377,0.6306506341694491,0.00021082826106208784,0.2003415616859418,0.002960147954495289,0.6974526987732321,0.001671551078248986,0.7996584383140583,0.0029601479544952938,0.7254721458113058,0.002393820511016722
LCM_9.4M,0.7685558108481723,0.0001245144386113786,0.7715263686766562,0.002194221618929766,0.37736035323310774,0.00019058264783563376,0.6226396467668922,0.00019058264783561375,0.22847363132334383,0.0021942216189297604,0.6808154426222977,0.0020891632705915676,0.7715263686766562,0.002194221618929766,0.7004515135712968,0.002131837463200848
LCM_12.2M,0.7733410316978542,5.297254132490305e-05,0.8976747388768196,0.001488262407938281,0.41320040733306573,0.00012590957655670326,0.586799592666934,0.0001259095765566982,0.10232526112318048,0.001488262407938293,0.7029498337328624,0.0011569503630825331,0.8976747388768196,0.001488262407938281,0.7718622970040647,0.0013808941249157413
LCM_24M,0.7276165115266618,0.00018452957302587898,0.28630531072818455,0.002357737128384583,0.11880804476814841,0.00041203136049083205,0.8811919552318516,0.00041203136049085113,0.7136946892718156,0.0023577371283845954,0.5829610002152845,0.002134335091381624,0.28630531072818455,0.002357737128384583,0.3621982985055129,0.0022907273294334755
PCMCI,0.4377010311459152,,0.8749221292201032,,0.9733095103038247,,0.026690489696175095,,0.125077870779897,,0.471538471959422,,0.8749221292201032,,0.6123003961995807,
DYNOTEARS,0.5592921998509219,,0.16731232934965026,,0.054091557318858,,0.9459084426811419,,0.8326876706503497,,0.5934050387965019,,0.16731232934965026,,0.2444471286021557,
VARLINGAM,0.7002615042975251,,0.7324569463613463,,0.4093660400646473,,0.5906339599353527,,0.2675430536386539,,0.6399408517231999,,0.7324569463613463,,0.6796807895202224,
