,mean,median,std,min,max
LCM_2.5M,0.022958039244016012,0.027825117111206055,0.007561918393381287,0.013337850570678711,0.05650520324707031
LCM_9.4M,0.042083391381634604,0.0513530969619751,0.013795642428220824,0.025038957595825195,0.08939313888549805
LCM_12.2M,0.04769120663404465,0.0583491325378418,0.015687549443045363,0.02875542640686035,0.0875706672668457
LCM_24M,0.06304684397247103,0.07593834400177002,0.02126744130973158,0.03780031204223633,0.13960742950439453
PCMCI,0.899380148284965,0.8172944784164429,0.24188206706110135,0.6242291927337646,1.941559076309204
DYNOTEARS,18.272104614310795,8.403831720352173,24.236593442260208,0.2837715148925781,137.17026138305664
VARLINGAM,23.596055063936447,24.44547712802887,1.8005127786531043,20.367963552474976,26.305145978927612
