model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.9555912055351117,0.0007284824749396255,0.9740299823633156,0.0013592481147147479,0.06284756942429892,0.0004942236100609048,0.9371524305757012,0.0004942236100609005,0.025970017636684307,0.0013592481147147314,0.9401020322538454,0.0004452998701388369,0.9740299823633156,0.0013592481147147479,0.955383087435268,0.0008023902198233346
LCM_9.4M,0.9138276828659906,0.0011770834744941282,0.872434530490086,0.002649172632705924,0.044779170454187826,0.0005301834869991392,0.9552208295458122,0.0005301834869991329,0.12756546950991393,0.0026491726327059315,0.9520707938861854,0.00043030889110098577,0.872434530490086,0.002649172632705924,0.8980718842314097,0.001956759483335625
LCM_12.2M,0.9142532890593564,0.0010947641140925815,0.8902542621987066,0.0022053244401545034,0.06174769004220344,0.00021411330451819125,0.9382523099577964,0.00021411330451817976,0.10974573780129333,0.002205324440154495,0.9275983806781305,0.004223341253743541,0.8902542621987066,0.0022053244401545034,0.8982118919822275,0.0023611376212057016
LCM_24M,0.8134214123090109,0.006539355128188482,0.6935875955320401,0.012616824728708523,0.06674477943201709,0.0005886850203114575,0.9332552205679828,0.0005886850203114974,0.30641240446796003,0.0126168247287085,0.7995519370727668,0.013598364043946733,0.6935875955320401,0.012616824728708523,0.7102564093077982,0.012369798286711718
PCMCI,0.5564682944505303,,0.9130228824673268,,0.9016093474426808,,0.09839065255731923,,0.08697711753267309,,0.517367501049606,,0.9130228824673268,,0.6386586373760714,
DYNOTEARS,0.6944559061968768,,0.48196736391180833,,0.09305555555555556,,0.9069444444444443,,0.5180326360881916,,0.8344932844932846,,0.48196736391180833,,0.544275581597306,
VARLINGAM,0.5515980647669898,,0.5520056486723154,,0.44880952380952377,,0.5511904761904761,,0.4479943513276846,,0.4963117800205203,,0.5520056486723154,,0.4941904169590563,
