model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
CP_trf,0.7759856186797082,0.001574941816777804,0.6817007938445866,0.004319852181865242,0.12972960223638622,0.0016802588688513088,0.8702703977636139,0.0016802588688513069,0.3182992061554134,0.004319852181865245,0.8395396777895213,0.0014223186142672286,0.6817007938445866,0.004319852181865242,0.7421773450164754,0.002406804064415235
LCM_2.5M,0.9453985823104135,0.0009290077619839703,1.0,0.0,0.10920284379063461,0.0018580160919160018,0.8907971562093655,0.001858016091916004,0.0,0.0,0.9040004636352609,0.0015312875503660887,1.0,0.0,0.948935820889568,0.0008408180125663217
LCM_9.4M,0.9435025978606499,0.0010424688472837665,1.0,0.0,0.11299478835693677,0.0020849379148193494,0.8870052116430632,0.00208493791481935,0.0,0.0,0.900796763848119,0.0016717065050296507,1.0,0.0,0.9471955911353064,0.0009296017227830653
LCM_12.2M,0.9469376008072234,0.0006949014028967433,0.9970247135782297,0.0004848340558926497,0.10314949281111839,0.001423064489691822,0.8968505071888815,0.0014230644896918213,0.002975286421770278,0.0004848340558926509,0.9078168173821078,0.001169376903603434,0.9970247135782297,0.0004848340558926497,0.9498120128416492,0.0006347526958324401
LCM_24M,0.9542614201569145,0.0007907258027701299,0.9921236091116419,0.000768618065502782,0.08360077157470744,0.0016444375426944247,0.9163992284252925,0.001644437542694425,0.007876390888358025,0.0007686180655027844,0.9251212953367915,0.0012887769800065038,0.9921236091116419,0.000768618065502782,0.9564029141051,0.0007099360835033329
PCMCI,0.7385508440314128,0.005525439150654557,0.9943078156916059,0.0009636229762964994,0.9815064720117793,0.002821918201938278,0.018493527988220602,0.0028219182019382795,0.0056921843083939504,0.0009636229762965032,0.5035032365818729,0.0006074435464740169,0.9943078156916059,0.0009636229762964994,0.6683456007764974,0.0004577471744324814
DYNOTEARS,0.5222256365746505,0.011493063303490002,0.3493316658639397,0.031028775861376746,0.30488037576829974,0.012117816007218993,0.6951196242317002,0.012117816007218993,0.6506683341360603,0.03102877586137674,0.37310838920542777,0.02226420089145906,0.3493316658639397,0.031028775861376746,0.3445958380893761,0.026320408070007153
VARLINGAM,0.6869706902933481,0.0058300195375607725,0.6170084188150565,0.009492853341797778,0.24306702682871467,0.0030330904831467227,0.7569329731712854,0.0030330904831467197,0.38299158118494364,0.009492853341797773,0.7082444852224855,0.004729542294429494,0.6170084188150565,0.009492853341797778,0.6529690297413142,0.007237382795877308
