model,AUC_mean,AUC_se,TPR_mean,TPR_se,FPR_mean,FPR_se,TNR_mean,TNR_se,FNR_mean,FNR_se,Precision_mean,Precision_se,Recall_mean,Recall_se,F1_mean,F1_se
LCM_2.5M,0.8372818357775416,5.551115123125783e-17,0.9452402206674646,5.551115123125783e-17,0.27067655129604,0.0,0.7293234487039599,0.0,0.0547597793325353,0.0,0.7911796809711431,0.0,0.9452402206674646,5.551115123125783e-17,0.851886816948474,5.551115123125783e-17
LCM_9.4M,0.8406492180103878,0.0,0.9513290165785933,5.551115123125783e-17,0.270030581385434,0.0,0.729969418614566,0.0,0.04867098342140697,0.0,0.7931981956609245,0.0,0.9513290165785933,5.551115123125783e-17,0.8569755317094234,0.0
LCM_12.2M,0.838891596291195,0.0,0.9578268049986989,5.551115123125783e-17,0.280043614382724,0.0,0.7199563856172759,0.0,0.042173195001301275,0.0,0.7890528456159431,0.0,0.9578268049986989,5.551115123125783e-17,0.857481457075844,5.551115123125783e-17
LCM_24M,0.7784072523831341,0.0,0.9349514256782843,5.551115123125783e-17,0.3781369219716419,0.0,0.6218630780283579,0.0,0.06504857432171565,0.0,0.7211570938507921,0.0,0.9349514256782843,5.551115123125783e-17,0.8047909474940586,0.0
PCMCI,0.7023144739717245,,0.8027553228920178,,0.6226178205290482,,0.37738217947095176,,0.1702446771079821,,0.5546689709451877,,0.8027553228920178,,0.6459981760221545,
DYNOTEARS,0.5425726997013489,,0.13059739508909077,,0.04085449384758074,,0.9591455061524193,,0.8644472035233969,,0.5168537238158002,,0.13059739508909077,,0.19084551438579736,
VARLINGAM,0.6882619829137687,,0.4958638263922105,,0.11525624990656214,,0.8847437500934378,,0.49918077222027707,,0.7677442738469998,,0.4958638263922105,,0.5815161649841025,
